日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,3.236,3.154,3.242,3.14,1329408.0,4192952.832,,,,0.0
2022-01-05,3.151,3.064,3.151,3.049,3326676.0,10192935.264,3.233988585922634,-2.853519340519972,-0.08999999999999986,0.0
2022-01-06,3.043,3.034,3.054,2.999,3940022.0,11954026.748,1.795039164490852,-0.9791122715404832,-0.03000000000000025,0.0
2022-01-07,3.035,3.003,3.046,2.998,2532898.0,7606292.694,1.5820698747527884,-1.0217534607778411,-0.030999999999999694,0.0
2022-01-10,3.0,2.998,3.018,2.958,2563940.0,7686692.12,1.9980019980019847,-0.16650016650016086,-0.004999999999999893,0.0
2022-01-11,2.998,2.96,3.008,2.956,2460580.0,7283316.8,1.7344896597731836,-1.2675116744496395,-0.038000000000000256,0.0
2022-01-12,2.984,3.035,3.039,2.984,3398322.0,10313907.27,1.8581081081081134,2.533783783783794,0.07500000000000018,0.0
2022-01-13,3.042,2.99,3.043,2.988,2161757.0,6463653.430000001,1.8121911037891318,-1.4827018121911006,-0.04499999999999993,0.0
2022-01-14,2.975,3.015,3.027,2.967,2101345.0,6335555.175,2.006688963210704,0.836120401337781,0.02499999999999991,0.0
2022-01-17,3.0,3.068,3.075,3.0,1880369.0,5768972.092,2.487562189054732,1.7578772802653297,0.052999999999999936,0.0
2022-01-18,3.057,3.047,3.075,3.038,1633493.0,4977253.171,1.2059973924380825,-0.6844850065188979,-0.020999999999999908,0.0
2022-01-19,3.036,2.985,3.047,2.958,3143886.0,9384499.709999999,2.9209058089924507,-2.0347883163767677,-0.06200000000000028,0.0
2022-01-20,2.973,2.975,3.002,2.962,1806636.0,5374742.100000001,1.3400335008375073,-0.335008375209378,-0.009999999999999787,0.0
2022-01-21,2.957,2.941,2.973,2.927,2693107.0,7920427.687,1.5462184873949518,-1.1428571428571566,-0.03400000000000025,0.0
2022-01-24,2.929,2.962,2.972,2.924,2375722.0,7036888.564,1.6320979258755541,0.7140428425705725,0.02100000000000035,0.0
2022-01-25,2.94,2.881,2.961,2.881,2869779.0,8267833.299,2.7008777852802184,-2.7346387575962305,-0.0810000000000004,0.0
2022-01-26,2.893,2.906,2.914,2.86,2292046.0,6660685.676,1.8743491843110127,0.8677542519958559,0.025000000000000355,0.0
2022-01-27,2.889,2.815,2.904,2.813,4025788.0,11332593.22,3.1314521679284155,-3.131452167928428,-0.09100000000000019,0.0
2022-01-28,2.848,2.819,2.869,2.794,3053074.0,8606615.606,2.6642984014209654,0.1420959147424572,0.0040000000000000036,0.0
2022-02-07,2.87,2.83,2.891,2.815,2575698.0,7289225.34,2.695991486342677,0.3902092940759161,0.01100000000000012,0.0
2022-02-08,2.826,2.758,2.826,2.697,4540175.0,12521802.65,4.558303886925795,-2.544169611307423,-0.07200000000000006,0.0
2022-02-09,2.749,2.791,2.797,2.729,2759428.0,7701563.5479999995,2.465554749818711,1.196519216823777,0.03299999999999992,0.0
2022-02-10,2.794,2.74,2.8,2.711,3709244.0,10163328.56,3.1888212110354703,-1.8273020422787445,-0.05099999999999971,0.0
2022-02-11,2.715,2.66,2.725,2.655,4349599.0,11569933.34,2.5547445255474552,-2.919708029197088,-0.08000000000000007,0.0
2022-02-14,2.648,2.646,2.687,2.626,3943463.0,10434403.098,2.293233082706765,-0.526315789473697,-0.014000000000000234,0.0
2022-02-15,2.653,2.726,2.728,2.653,4685596.0,12772934.696,2.8344671201814124,3.0234315948601598,0.08000000000000007,0.0
2022-02-16,2.733,2.725,2.75,2.718,3140857.0,8558835.325000001,1.173881144534117,-0.03668378576668907,-0.0009999999999998899,0.0
2022-02-17,2.716,2.744,2.768,2.705,3360070.0,9220032.08,2.311926605504577,0.6972477064220328,0.019000000000000128,0.0
2022-02-18,2.727,2.739,2.74,2.713,2491155.0,6823273.545,0.9839650145772643,-0.1822157434402505,-0.0050000000000003375,0.0
2022-02-21,2.739,2.713,2.747,2.706,2448619.0,6643103.347,1.4968966776195665,-0.9492515516611788,-0.0259999999999998,0.0
2022-02-22,2.689,2.678,2.692,2.656,3733094.0,9997225.731999999,1.3269443420567648,-1.2900847769996338,-0.03500000000000014,0.0
2022-02-23,2.683,2.754,2.754,2.68,3632140.0,10002913.56,2.763256161314408,2.8379387602688544,0.07600000000000007,0.0
2022-02-24,2.721,2.693,2.759,2.662,4697380.0,12650044.34,3.5221496005809727,-2.214960058097315,-0.06099999999999994,0.0
2022-02-25,2.732,2.763,2.79,2.732,4171521.0,11525912.523,2.153731897512062,2.599331600445587,0.06999999999999984,0.0
2022-02-28,2.763,2.786,2.787,2.741,2973351.0,8283755.886,1.6648570394498667,0.832428519724937,0.02300000000000013,0.0
2022-03-01,2.8,2.795,2.814,2.772,2971590.0,8305594.05,1.5075376884422202,0.3230437903804617,0.008999999999999897,0.0
2022-03-02,2.777,2.741,2.777,2.721,3239070.0,8878290.870000001,2.003577817531308,-1.9320214669051872,-0.053999999999999826,0.0
